y,pred
[[73.36499786]],[[72.92841519]]
[[73.15000153]],[[73.37381471]]
[[73.06500244]],[[73.15945445]]
[[73.]],[[73.07522475]]
[[72.87999725]],[[73.01069483]]
[[71.13500214]],[[72.89220358]]
[[70.62000275]],[[71.14900307]]
[[70.45999908]],[[70.63492464]]
[[70.37999725]],[[70.47429816]]
[[70.13999939]],[[70.39313277]]
[[70.43000031]],[[70.1514296]]
[[70.62000275]],[[70.4401402]]
[[69.94999695]],[[70.63095003]]
[[69.70999908]],[[69.96237391]]
[[69.77999878]],[[69.7234183]]
[[69.91999817]],[[69.79358043]]
[[69.66999817]],[[69.93368052]]
[[69.12000275]],[[69.68321607]]
[[69.52999878]],[[69.13215148]]
[[68.97000122]],[[69.54245943]]
[[68.93000031]],[[68.9822202]]
[[68.91000366]],[[68.9414082]]
[[69.19999695]],[[68.92049411]]
[[69.54000092]],[[69.20996543]]
[[70.19000244]],[[69.55011242]]
[[70.01999664]],[[70.20070056]]
[[69.68319702]],[[70.03199342]]
[[69.88999939]],[[69.69564255]]
[[70.26000214]],[[69.90142323]]
[[70.25]],[[70.27050467]]
[[70.44999695]],[[70.25958875]]
[[70.55999756]],[[70.45956602]]
[[70.40000153]],[[70.57067453]]
[[71.59999847]],[[70.40331597]]
[[70.84999847]],[[71.59749227]]
[[70.51000214]],[[70.84892583]]
[[70.23500061]],[[70.51465744]]
[[70.01000214]],[[70.24576419]]
[[69.76000214]],[[70.0260525]]
[[70.05000305]],[[69.77926053]]
[[70.48000336]],[[70.06977782]]
[[70.69499969]],[[70.50025607]]
[[70.66000366]],[[70.71488702]]
[[70.73000336]],[[70.6788456]]
[[71.13999939]],[[70.74764637]]
[[70.47000122]],[[71.15678664]]
[[70.11000061]],[[70.48585383]]
[[70.29000092]],[[70.12609244]]
[[70.61000061]],[[70.30626053]]
[[71.02410126]],[[70.62562693]]
[[70.63999939]],[[71.03853624]]
[[70.36000061]],[[70.65303896]]
[[70.34500122]],[[70.37199221]]
[[70.69000244]],[[70.35623423]]
[[68.93000031]],[[70.70088105]]
[[68.89499664]],[[68.94106591]]
[[68.04000092]],[[68.90669801]]
[[67.56500244]],[[68.05100247]]
[[68.41000366]],[[67.57500245]]
[[68.17500305]],[[68.41937337]]
[[68.23999786]],[[68.18394032]]
[[69.16899872]],[[68.25102464]]
[[69.24500275]],[[69.18250241]]
[[69.12000275]],[[69.26020832]]
[[69.05999756]],[[69.13593945]]
[[69.5]],[[69.07517872]]
[[69.35500336]],[[69.5138223]]
[[69.38999939]],[[69.3671288]]
[[69.66999817]],[[69.40156769]]
[[69.23000336]],[[69.68106136]]
[[69.17500305]],[[69.24095206]]
[[68.92009735]],[[69.18614226]]
[[69.08000183]],[[68.93151285]]
[[69.12999725]],[[69.0918391]]
[[69.13999939]],[[69.14219075]]
[[68.]],[[69.15225982]]
[[66.98999786]],[[68.01203193]]
[[67.05000305]],[[67.00149646]]
[[66.64499664]],[[67.0609959]]
[[66.41000366]],[[66.65578108]]
[[66.5]],[[66.42089826]]
[[66.61000061]],[[66.51123885]]
[[67.46499634]],[[66.62202803]]
[[66.93000031]],[[67.47806884]]
[[66.69000244]],[[66.94319355]]
[[66.51000214]],[[66.70249349]]
[[66.86000061]],[[66.52172954]]
[[66.875]],[[66.8713678]]
[[67.30999756]],[[66.88650277]]
[[64.62999725]],[[67.32258342]]
[[64.87999725]],[[64.64333518]]
[[63.70999908]],[[64.89427767]]
[[62.74499893]],[[63.72397024]]
[[61.58000183]],[[62.75798852]]
[[62.28499985]],[[61.59142428]]
[[61.90999985]],[[62.29522122]]
[[60.24000168]],[[61.91755192]]
[[62.15000153]],[[60.24510435]]
[[59.31999969]],[[62.15497241]]
[[57.88999939]],[[59.32573379]]
[[58.77500153]],[[57.89745142]]
[[58.90000153]],[[58.78444939]]
[[58.79999924]],[[58.91085863]]
[[32.93999863]],[[58.80968156]]
[[46.27999878]],[[32.9444982]]
[[45.15000153]],[[46.28676918]]
[[42.03499985]],[[45.15777811]]
[[44.43000031]],[[42.04350314]]
[[43.10499954]],[[44.44000782]]
[[42.52999878]],[[43.11512001]]
[[45.22999954]],[[42.53821879]]
[[46.22499847]],[[45.23737709]]
[[46.30500031]],[[46.23313861]]
[[43.47999954]],[[46.31451228]]
[[43.85749817]],[[43.48971192]]
[[42.68999863]],[[43.86711123]]
[[43.36999893]],[[42.69867386]]
[[43.45999908]],[[43.3782257]]
[[44.43000031]],[[43.46789338]]
[[44.34000015]],[[44.43840878]]
[[44.54999924]],[[44.34880851]]
[[44.45500183]],[[44.55894772]]
[[45.04499817]],[[44.4635356]]
[[44.83000183]],[[45.05259339]]
[[42.84000015]],[[44.83720708]]
