y,pred
[[489.63000488]],[[486.76701421]]
[[486.95889282]],[[489.71953478]]
[[488.1499939]],[[487.04949621]]
[[489.57000732]],[[488.24420495]]
[[486.35998535]],[[489.66666457]]
[[484.5]],[[486.45888602]]
[[483.32998657]],[[484.60509771]]
[[479.07000732]],[[483.43586759]]
[[478.29998779]],[[479.1724084]]
[[479.73001099]],[[478.39853237]]
[[481.14001465]],[[479.82702017]]
[[497.25]],[[481.23275271]]
[[499.55499268]],[[497.33655527]]
[[497.16000366]],[[499.6326219]]
[[495.45999146]],[[497.23298615]]
[[492.20001221]],[[495.53288312]]
[[489.69500732]],[[492.27331905]]
[[487.44000244]],[[489.76824756]]
[[480.5249939]],[[487.51066827]]
[[486.29000854]],[[480.59087477]]
[[483.11999512]],[[486.35269616]]
[[479.55249023]],[[483.18304619]]
[[478.17001343]],[[479.62044407]]
[[480.396698]],[[478.24885831]]
[[478.23999023]],[[480.49212575]]
[[479.67001343]],[[478.34516597]]
[[485.91000366]],[[479.78798166]]
[[489.25]],[[486.00819737]]
[[488.83569336]],[[489.33104001]]
[[488.66000366]],[[488.90882146]]
[[486.80999756]],[[488.729279]]
[[488.57998657]],[[486.88170369]]
[[496.66000366]],[[488.65711159]]
[[497.42001343]],[[496.7178632]]
[[496.16000366]],[[497.47500777]]
[[493.72000122]],[[496.23751565]]
[[494.65499878]],[[493.8216713]]
[[492.30499268]],[[494.76954493]]
[[492.39001465]],[[492.41371829]]
[[479.02999878]],[[492.48633352]]
[[478.18499756]],[[479.12569754]]
[[479.95498657]],[[478.28330824]]
[[483.22000122]],[[480.05145479]]
[[478.47000122]],[[483.31016277]]
[[477.8500061]],[[478.5571447]]
[[478.]],[[477.93196685]]
[[474.51998901]],[[478.07005942]]
[[480.26000977]],[[474.58026489]]
[[479.61499023]],[[480.32382367]]
[[483.57998657]],[[479.68606536]]
[[489.75]],[[483.65263649]]
[[488.94500732]],[[489.8205665]]
[[488.27999878]],[[489.01462361]]
[[481.60998535]],[[488.35251443]]
[[478.47000122]],[[481.69113776]]
[[479.17001343]],[[478.56557563]]
[[480.52999878]],[[479.28196089]]
[[475.27999878]],[[480.64928838]]
[[473.98001099]],[[475.39852688]]
[[469.44000244]],[[474.09221676]]
[[471.90499878]],[[469.53990091]]
[[473.63500977]],[[471.9922299]]
[[466.32998657]],[[473.71010029]]
[[467.57000732]],[[466.3965879]]
[[465.01000977]],[[467.63813742]]
[[466.97000122]],[[465.08067017]]
[[467.57998657]],[[467.04481615]]
[[474.11999512]],[[467.65841258]]
[[477.50500488]],[[474.19207692]]
[[478.98999023]],[[477.5644183]]
[[474.58499146]],[[479.04954202]]
[[476.63000488]],[[474.65278238]]
[[478.91000366]],[[476.70729255]]
[[480.]],[[478.99762334]]
[[482.32501221]],[[480.09605169]]
[[480.07000732]],[[482.43269807]]
[[478.3999939]],[[480.18607449]]
[[476.52999878]],[[478.51969572]]
[[477.31500244]],[[476.64418045]]
[[475.48498535]],[[477.41751026]]
[[466.19000244]],[[475.57589656]]
[[468.30999756]],[[466.27142382]]
[[466.48001099]],[[468.3863897]]
[[467.2749939]],[[466.54865999]]
[[461.54998779]],[[467.3353504]]
[[458.48999023]],[[461.60779944]]
[[452.97000122]],[[458.55080899]]
[[456.32000732]],[[453.03673291]]
[[455.46499634]],[[456.39466631]]
[[454.04000854]],[[455.55133662]]
[[453.36999512]],[[454.13502975]]
[[455.3500061]],[[453.46953418]]
[[457.26000977]],[[455.44799351]]
[[459.54998779]],[[457.35231844]]
[[460.76998901]],[[459.63661967]]
[[464.1499939]],[[460.85252186]]
[[465.86499023]],[[464.22823538]]
[[468.36499023]],[[465.93895128]]
[[467.01000977]],[[468.43896433]]
[[468.60501099]],[[467.08492331]]
[[470.58499146]],[[468.68251961]]
[[470.77999878]],[[470.66810605]]
[[469.375]],[[470.86650282]]
[[471.10998535]],[[469.45808799]]
[[468.91000366]],[[471.19131831]]
[[469.36999512]],[[468.99256215]]
