y,pred
[[51.41999817]],[[52.24896616]]
[[51.29999924]],[[51.42943127]]
[[51.20000076]],[[51.30961213]]
[[50.81000137]],[[51.2094099]]
[[50.06999969]],[[50.81981262]]
[[49.84999847]],[[50.07991239]]
[[48.97069931]],[[49.85950624]]
[[49.15999985]],[[48.97961357]]
[[48.56999969]],[[49.16874456]]
[[48.81000137]],[[48.57866877]]
[[48.36999893]],[[48.81861109]]
[[48.36500168]],[[48.3783458]]
[[48.68000031]],[[48.37311922]]
[[48.84000015]],[[48.68794585]]
[[48.93000031]],[[48.8474973]]
[[48.95000076]],[[48.9373166]]
[[49.13999939]],[[48.9574404]]
[[49.02500153]],[[49.14791713]]
[[48.65000153]],[[49.03349722]]
[[48.61000061]],[[48.6587378]]
[[49.70000076]],[[48.61863553]]
[[49.00999832]],[[49.70894521]]
[[48.90999985]],[[49.01893124]]
[[49.65000153]],[[48.91916452]]
[[49.65000153]],[[49.65971196]]
[[50.23500061]],[[49.66014181]]
[[49.91999817]],[[50.24522837]]
[[62.29999924]],[[49.93000763]]
[[63.88840103]],[[62.31219417]]
[[64.22000122]],[[63.89895408]]
[[62.51499939]],[[64.22870566]]
[[63.24000168]],[[62.52280365]]
[[65.17289734]],[[63.24893586]]
[[66.33999634]],[[65.18365333]]
[[63.79999924]],[[66.35178669]]
[[63.11999893]],[[63.81140257]]
[[63.24000168]],[[63.13097716]]
[[63.27500153]],[[63.25031852]]
[[64.7609024]],[[63.28528966]]
[[63.61999893]],[[64.7715547]]
[[63.08000183]],[[63.63068421]]
[[61.33000183]],[[63.09093551]]
[[60.67010117]],[[61.34117092]]
[[60.75999832]],[[60.68215583]]
[[60.61500168]],[[60.77241581]]
[[60.93000031]],[[60.62759253]]
[[60.20999908]],[[60.9424548]]
[[60.29499817]],[[60.22169564]]
[[56.81000137]],[[60.30590329]]
[[56.52000046]],[[56.82063491]]
[[56.49000168]],[[56.53134465]]
[[56.27259827]],[[56.50098715]]
[[56.41500092]],[[56.2824409]]
[[56.98920059]],[[56.42406879]]
[[56.7417984]],[[56.99793382]]
[[55.78499985]],[[56.75046708]]
[[56.74000168]],[[55.79389351]]
[[56.70999908]],[[56.74962338]]
[[57.16999817]],[[56.71965457]]
[[56.72990036]],[[57.17974155]]
[[56.90499878]],[[56.73977437]]
[[56.40999985]],[[56.91548369]]
[[55.72890091]],[[56.42081741]]
[[55.52000046]],[[55.73800175]]
[[55.33000183]],[[55.52715837]]
[[55.43000031]],[[55.33549844]]
[[56.11999893]],[[55.43508168]]
[[56.59909821]],[[56.12602539]]
[[56.27999878]],[[56.60689832]]
[[54.95000076]],[[56.28948796]]
[[54.77999878]],[[54.96178398]]
[[55.13000107]],[[54.79257509]]
[[54.97000122]],[[55.14212026]]
[[54.66999817]],[[54.98159623]]
[[54.7112999]],[[54.68085455]]
[[54.97000122]],[[54.72145684]]
[[55.02999878]],[[54.98033684]]
[[55.31000137]],[[55.0411005]]
[[54.99000168]],[[55.3216751]]
[[55.18000031]],[[55.00165949]]
[[55.20999908]],[[55.19118984]]
[[55.07500076]],[[55.22030496]]
[[55.09000015]],[[55.08492875]]
[[56.4620018]],[[55.09954153]]
[[56.58000183]],[[56.47302074]]
[[56.02000046]],[[56.5916051]]
[[56.1609993]],[[56.03159824]]
[[56.18500137]],[[56.17264343]]
[[56.02000046]],[[56.19655252]]
[[55.93999863]],[[56.03090455]]
[[55.86000061]],[[55.95063708]]
[[55.52999878]],[[55.87056058]]
[[56.]],[[55.54037639]]
[[55.77999878]],[[56.01026642]]
[[55.44499969]],[[55.78959753]]
[[55.29650116]],[[55.45374022]]
[[55.40000153]],[[55.30463015]]
[[54.93939972]],[[55.40794596]]
[[54.83000183]],[[54.94363465]]
[[55.20000076]],[[54.83056191]]
[[55.24000168]],[[55.19974701]]
[[56.18000031]],[[55.24097422]]
[[55.91999817]],[[56.18368124]]
[[56.38999939]],[[55.92661644]]
[[57.09500122]],[[56.39915756]]
[[56.88999939]],[[57.10671415]]
[[57.07500076]],[[56.90451036]]
[[57.08000183]],[[57.09214226]]
[[57.41999817]],[[57.09809214]]
[[57.56000137]],[[57.43727965]]
[[57.30500031]],[[57.57506728]]
[[58.36999893]],[[57.31712798]]
[[58.24000168]],[[58.38077117]]
[[58.04000092]],[[58.25021403]]
[[57.74000168]],[[58.05069192]]
[[57.24990082]],[[57.75111839]]
[[56.88999939]],[[57.26078625]]
[[56.81999969]],[[56.90036582]]
[[57.63999939]],[[56.82995162]]
[[57.88999939]],[[57.65015635]]
[[58.60910034]],[[57.89969598]]
[[58.11999893]],[[58.61911585]]
[[57.80500031]],[[58.12996268]]
[[57.56999969]],[[57.81460836]]
[[57.65000153]],[[57.57933793]]
[[58.20289993]],[[57.65941631]]
[[58.77000046]],[[58.21237552]]
[[58.45000076]],[[58.77882355]]
[[57.93999863]],[[58.45776396]]
[[58.08000183]],[[57.9469777]]
[[57.72000122]],[[58.08722539]]
[[58.25]],[[57.72846176]]
[[58.70500183]],[[58.26036969]]
[[58.10490036]],[[58.71697791]]
[[58.15000153]],[[58.11793241]]
[[56.88999939]],[[58.16344076]]
[[56.00999832]],[[56.90250421]]
[[55.59999847]],[[56.02084997]]
[[55.72999954]],[[55.60972429]]
[[53.88000107]],[[55.73958325]]
[[55.11000061]],[[53.89021604]]
[[54.29499817]],[[55.12003037]]
[[52.70000076]],[[54.30329527]]
[[52.77000046]],[[52.7061973]]
[[53.45999908]],[[52.77534065]]
[[53.31000137]],[[53.4665624]]
[[52.72999954]],[[53.31878028]]
[[54.41999817]],[[52.73742693]]
[[54.28620148]],[[54.42622118]]
[[53.93000031]],[[54.29281082]]
[[54.74000168]],[[53.93803128]]
[[54.31999969]],[[54.74970757]]
[[54.24000168]],[[54.33073801]]
[[56.27999878]],[[54.25169831]]
[[56.38050079]],[[56.29095641]]
[[56.58000183]],[[56.39182266]]
[[56.49000168]],[[56.59353202]]
[[56.54999924]],[[56.50469156]]
[[56.22999954]],[[56.56398656]]
[[56.52999878]],[[56.24266324]]
[[54.93999863]],[[56.54135993]]
[[55.80500031]],[[54.95042213]]
[[55.92890167]],[[55.81556152]]
[[55.66999817]],[[55.94009098]]
[[55.34500122]],[[55.68177692]]
[[55.55500031]],[[55.35672729]]
[[55.09999847]],[[55.56597904]]
[[56.13499832]],[[55.10950012]]
[[57.1189003]],[[56.14457493]]
[[57.54999924]],[[57.12939547]]
[[58.31000137]],[[57.56079808]]
[[58.47999954]],[[58.31978591]]
[[59.06999969]],[[58.48807673]]
[[58.86999893]],[[59.0773587]]
[[58.22000122]],[[58.8774282]]
[[57.18220139]],[[58.22943491]]
[[57.81999969]],[[57.19379438]]
[[58.27999878]],[[57.83311776]]
[[58.32500076]],[[58.29350302]]
[[58.24000168]],[[58.33776756]]
[[58.54000092]],[[58.25141165]]
[[57.75]],[[58.55030992]]
[[58.11000061]],[[57.76454918]]
[[56.47000122]],[[58.12831843]]
[[57.00999832]],[[56.48821649]]
[[57.31000137]],[[57.02661633]]
[[57.01499939]],[[57.32399286]]
[[56.84000015]],[[57.02652174]]
[[57.88000107]],[[56.84967777]]
[[58.47999954]],[[57.88751542]]
[[58.91999817]],[[58.4853383]]
[[59.18999863]],[[58.92482067]]
[[59.02000046]],[[59.19521477]]
[[59.43000031]],[[59.0257315]]
[[59.24000168]],[[59.43620731]]
[[59.04380035]],[[59.24620848]]
[[58.95999908]],[[59.05104128]]
[[58.72999954]],[[58.96852805]]
[[59.02000046]],[[58.73927827]]
[[59.62990189]],[[59.02989973]]
[[59.20000076]],[[59.64033219]]
[[57.88999939]],[[59.21062977]]
[[61.34000015]],[[57.9005502]]
[[61.08499908]],[[61.35098048]]
[[60.66999817]],[[61.0965773]]
[[60.02500153]],[[60.68178883]]
[[59.56560135]],[[60.03611385]]
[[59.47000122]],[[59.57585753]]
[[60.20000076]],[[59.47963391]]
[[59.90000153]],[[60.20990576]]
[[59.04000092]],[[59.91179429]]
[[59.35499954]],[[59.05280017]]
[[59.45999908]],[[59.36776935]]
[[59.81000137]],[[59.47186027]]
[[60.31999969]],[[59.8211071]]
[[60.45999908]],[[60.33057879]]
[[60.63999939]],[[60.47002952]]
[[60.33879852]],[[60.64957807]]
[[59.95000076]],[[60.34795649]]
[[60.]],[[59.96014089]]
[[60.20000076]],[[60.0112237]]
[[60.24000168]],[[60.21154355]]
[[59.88999939]],[[60.25090179]]
[[58.875]],[[59.90017109]]
[[59.16999817]],[[58.8849697]]
[[59.25]],[[59.18010688]]
[[59.23500061]],[[59.25992726]]
[[58.79000092]],[[59.24489799]]
[[58.54999924]],[[58.80014129]]
[[58.24000168]],[[58.56042212]]
[[58.95000076]],[[58.25067941]]
[[58.75180054]],[[58.96096173]]
[[59.41999817]],[[58.76254781]]
[[59.29999924]],[[59.43054073]]
[[59.38000107]],[[59.3097999]]
[[59.97000122]],[[59.38948447]]
[[59.84999847]],[[59.97981767]]
[[60.48500061]],[[59.85992325]]
[[59.93999863]],[[60.49562059]]
[[60.00999832]],[[59.95088979]]
[[60.]],[[60.02120087]]
[[60.11999893]],[[60.01132563]]
[[60.25]],[[60.13169883]]
[[60.06999969]],[[60.26179815]]
[[60.66999817]],[[60.08167957]]
[[60.99000168]],[[60.68115871]]
[[61.25009918]],[[61.00050607]]
[[60.68500137]],[[61.26031774]]
[[60.83000183]],[[60.69496764]]
[[61.02000046]],[[60.83963296]]
[[60.91999817]],[[61.02935911]]
[[60.18730164]],[[60.92932877]]
[[59.52500153]],[[60.19773885]]
[[59.79999924]],[[59.53625812]]
[[59.70999908]],[[59.8117135]]
[[60.02999878]],[[59.72160963]]
[[60.41500092]],[[60.0411979]]
[[60.45999908]],[[60.42618207]]
[[60.90000153]],[[60.4710568]]
[[60.50999832]],[[60.91045457]]
[[60.49000168]],[[60.51974401]]
[[60.75999832]],[[60.4995783]]
[[60.56000137]],[[60.76952534]]
[[60.59000015]],[[60.5696351]]
[[60.56999969]],[[60.59994494]]
[[58.29999924]],[[60.5802659]]
[[57.97119904]],[[58.310011]]
[[58.11000061]],[[57.98100058]]
[[58.15000153]],[[58.12012284]]
[[58.23260117]],[[58.16052997]]
[[58.24000168]],[[58.24358645]]
[[58.65000153]],[[58.25131858]]
[[59.04000092]],[[58.66116671]]
[[59.57500076]],[[59.05035311]]
[[60.09500122]],[[59.58408187]]
[[60.22999954]],[[60.10358176]]
[[60.52000046]],[[60.23883136]]
[[60.74000168]],[[60.52943708]]
[[60.86999893]],[[60.75030439]]
[[60.20000076]],[[60.88095545]]
[[61.47000122]],[[60.21256484]]
[[60.68000031]],[[61.48423203]]
[[61.52000046]],[[60.69444539]]
[[61.64920044]],[[61.53404643]]
[[61.22999954]],[[61.66174132]]
[[61.52999878]],[[61.24048893]]
[[61.34999847]],[[61.53915554]]
[[60.75999832]],[[61.35915885]]
[[61.33000183]],[[60.76934018]]
[[61.24000168]],[[61.33979049]]
[[61.56000137]],[[61.25014966]]
