y,pred
[[73.76000214]],[[73.87804526]]
[[73.87000275]],[[73.77305681]]
[[68.86499786]],[[73.88318697]]
[[69.98500061]],[[68.877532]]
[[68.66000366]],[[69.99801339]]
[[70.]],[[68.67286804]]
[[68.45999908]],[[70.01273889]]
[[67.98500061]],[[68.47179897]]
[[68.38999939]],[[67.99639318]]
[[70.47000122]],[[68.40059844]]
[[70.19999695]],[[70.48035978]]
[[70.48000336]],[[70.21058414]]
[[70.87999725]],[[70.4915428]]
[[70.13999939]],[[70.89243447]]
[[70.75]],[[70.15282725]]
[[70.66000366]],[[70.7630293]]
[[70.90000153]],[[70.67243702]]
[[71.25]],[[70.91187808]]
[[71.02999878]],[[71.2609831]]
[[71.16999817]],[[71.04022109]]
[[70.86000061]],[[71.18042039]]
[[70.91000366]],[[70.87105426]]
[[71.05999756]],[[70.9219091]]
[[72.45999908]],[[71.07283008]]
[[72.12000275]],[[72.47379706]]
[[71.79000092]],[[72.13453607]]
[[72.06999969]],[[71.80538345]]
[[71.73410034]],[[72.08561137]]
[[71.98000336]],[[71.74892201]]
[[71.63999939]],[[71.99368714]]
[[71.69000244]],[[71.65300444]]
[[72.08000183]],[[71.70289425]]
[[72.02999878]],[[72.09320625]]
[[72.30000305]],[[72.04349028]]
[[72.16000366]],[[72.31358633]]
[[72.09999847]],[[72.17374128]]
[[72.41999817]],[[72.11389227]]
[[71.93000031]],[[72.43421371]]
[[72.23000336]],[[71.94412824]]
[[72.69000244]],[[72.24382588]]
[[72.34999847]],[[72.70330101]]
[[72.61000061]],[[72.36253838]]
[[72.37000275]],[[72.62210843]]
[[72.08999634]],[[72.38216518]]
[[71.30999756]],[[72.10302373]]
[[71.26000214]],[[71.3236597]]
[[70.87000275]],[[71.27335127]]
[[71.05000305]],[[70.88219321]]
[[71.33999634]],[[71.06087883]]
[[71.48999786]],[[71.35008945]]
[[71.44999695]],[[71.49991885]]
[[69.39499664]],[[71.46051181]]
[[70.09999847]],[[69.40656526]]
[[69.80000305]],[[70.11287647]]
[[69.61499786]],[[69.81301498]]
[[69.13999939]],[[69.62771415]]
[[69.42769623]],[[69.15251197]]
[[69.34999847]],[[69.44061159]]
[[69.53500366]],[[69.36388214]]
[[70.23999786]],[[69.5494269]]
[[70.41000366]],[[70.25412853]]
[[70.79000092]],[[70.42307737]]
[[70.37999725]],[[70.80221137]]
[[69.98999786]],[[70.39131241]]
[[70.27999878]],[[70.0013932]]
[[72.23000336]],[[70.29018489]]
[[71.69000244]],[[72.23966379]]
[[71.05000305]],[[71.69952442]]
[[71.18000031]],[[71.05990004]]
[[71.59999847]],[[71.19079867]]
[[71.5]],[[71.61225449]]
[[71.22499847]],[[71.51331578]]
[[70.23000336]],[[71.2394979]]
[[70.59999847]],[[70.24424241]]
[[70.47499847]],[[70.61326447]]
[[70.23000336]],[[70.48776369]]
[[70.54000092]],[[70.24236995]]
[[70.80000305]],[[70.5520655]]
[[70.86000061]],[[70.81188027]]
[[71.25]],[[70.87196365]]
[[71.25]],[[71.26263565]]
[[71.08999634]],[[71.26323127]]
[[71.15000153]],[[71.10326728]]
[[70.80999756]],[[71.16313232]]
[[70.19999695]],[[70.82312311]]
[[70.41999817]],[[70.21273745]]
[[70.66000366]],[[70.43380171]]
[[70.93000031]],[[70.67498297]]
[[70.94000244]],[[70.94542898]]
[[71.43000031]],[[70.9550826]]
[[71.01999664]],[[71.44423918]]
[[71.06999969]],[[71.03309339]]
[[70.91000366]],[[71.08235799]]
[[71.69000244]],[[70.92192363]]
[[71.69499969]],[[71.70191199]]
[[72.37000275]],[[71.70708154]]
[[72.11000061]],[[72.38232505]]
[[72.08000183]],[[72.12239362]]
[[71.72000122]],[[72.09244017]]
[[71.93000031]],[[71.73212869]]
[[71.15000153]],[[71.94181628]]
[[71.52999878]],[[71.16133472]]
[[71.66999817]],[[71.54146445]]
[[71.65010071]],[[71.68174767]]
[[72.45500183]],[[71.66156908]]
[[72.3010025]],[[72.46576014]]
[[72.36019897]],[[72.31077909]]
[[72.70999908]],[[72.36952207]]
[[72.45999908]],[[72.72093719]]
[[72.73000336]],[[72.47351417]]
[[73.]],[[72.74511424]]
[[72.88999939]],[[73.0150234]]
[[73.17500305]],[[72.90402859]]
[[73.08999634]],[[73.1878277]]
[[73.20999908]],[[73.10255995]]
[[73.15000153]],[[73.22310042]]
[[73.02999878]],[[73.16373469]]
[[72.83000183]],[[73.04390747]]
[[72.62000275]],[[72.84316973]]
[[72.54000092]],[[72.63279397]]
[[72.54000092]],[[72.55261375]]
[[71.77999878]],[[72.5526759]]
[[71.625]],[[71.79281773]]
[[71.93000031]],[[71.63813681]]
[[71.40000153]],[[71.94286105]]
[[71.42500305]],[[71.4123406]]
[[71.12999725]],[[71.43719053]]
[[71.19999695]],[[71.14226158]]
[[71.23000336]],[[71.21342927]]
[[71.33750153]],[[71.24423527]]
[[71.30000305]],[[71.35151787]]
[[71.16000366]],[[71.31292301]]
[[71.12000275]],[[71.17216024]]
[[70.84999847]],[[71.13181151]]
[[71.22000122]],[[70.86182337]]
[[70.14499664]],[[71.23323833]]
[[69.95500183]],[[70.15942046]]
[[69.79000092]],[[69.96999743]]
[[68.98000336]],[[69.80440581]]
[[68.31999969]],[[68.99330004]]
[[67.51999664]],[[68.33254433]]
[[67.38999939]],[[67.53172003]]
[[63.31000137]],[[67.39955776]]
[[63.75999832]],[[63.31561314]]
[[61.79000092]],[[63.76358138]]
[[61.59999847]],[[61.79296294]]
[[60.93000031]],[[61.60422178]]
[[60.83000183]],[[60.93634581]]
[[60.29999924]],[[60.83899868]]
[[58.40999985]],[[60.30629441]]
[[59.84999847]],[[58.41268235]]
[[59.82500076]],[[59.85280775]]
[[58.90999985]],[[59.83079816]]
[[59.22000122]],[[58.9194152]]
[[58.82500076]],[[59.23253373]]
[[58.47999954]],[[58.83932333]]
[[60.56900024]],[[58.49282837]]
[[60.90999985]],[[60.58189044]]
[[60.14500046]],[[60.92364946]]
[[59.93000031]],[[60.15897471]]
[[59.79999924]],[[59.94384802]]
[[60.05500031]],[[59.8134587]]
[[59.74000168]],[[60.06798336]]
[[57.52000046]],[[59.75587297]]
[[57.47000122]],[[57.54115791]]
[[56.91500092]],[[57.49483894]]
[[57.13499832]],[[56.9384831]]
[[57.07500076]],[[57.15424201]]
[[57.74000168]],[[57.0891358]]
[[57.65999985]],[[57.74888846]]
[[56.56499863]],[[57.6659743]]
[[58.79000092]],[[56.57000831]]
[[58.84999847]],[[58.7953349]]
[[59.06000137]],[[58.85549005]]
[[58.95000076]],[[59.06535435]]
[[59.06000137]],[[58.95558314]]
[[58.75999832]],[[59.0662155]]
[[57.02999878]],[[58.76772893]]
[[56.04999924]],[[57.03861886]]
[[56.11999893]],[[56.05877938]]
[[56.52999878]],[[56.12907102]]
[[56.45999908]],[[56.53986116]]
[[56.95500183]],[[56.47076671]]
[[56.52000046]],[[56.96602299]]
[[56.29999924]],[[56.53116316]]
[[57.28499985]],[[56.31118959]]
[[56.31000137]],[[57.29600292]]
[[56.43000031]],[[56.32043937]]
[[56.41999817]],[[56.44024865]]
[[56.52000046]],[[56.43041305]]
[[56.86000061]],[[56.53060182]]
[[59.29999924]],[[56.8698835]]
[[60.54000092]],[[59.30921382]]
[[61.13999939]],[[60.54889285]]
[[61.38499832]],[[61.14903366]]
[[60.95999908]],[[61.39449916]]
[[60.86999893]],[[60.97005729]]
[[60.74000168]],[[60.8806881]]
[[61.24000168]],[[60.75188062]]
[[60.79999924]],[[61.25309011]]
[[60.75999832]],[[60.81320224]]
[[60.88999939]],[[60.77275624]]
[[60.75999832]],[[60.90189973]]
[[60.09999847]],[[60.77088116]]
[[58.91999817]],[[60.11021166]]
[[59.60499954]],[[58.93022857]]
[[59.59999847]],[[59.61554273]]
[[59.5]],[[59.61036893]]
[[58.95999908]],[[59.51034175]]
[[58.13000107]],[[58.97009454]]
[[57.59500122]],[[58.14048301]]
[[57.70000076]],[[57.60573127]]
[[56.]],[[57.71243128]]
[[55.38499832]],[[56.01376179]]
[[56.00999832]],[[55.39891351]]
[[56.15000153]],[[56.02286202]]
[[56.70000076]],[[56.16134802]]
[[57.13999939]],[[56.70989661]]
[[57.56000137]],[[57.148939]]
[[57.81000137]],[[57.56825298]]
[[58.33499908]],[[57.81803491]]
[[58.49000168]],[[58.3432188]]
[[58.81000137]],[[58.49868599]]
[[59.13499832]],[[58.81893979]]
[[59.20000076]],[[59.14402579]]
[[58.95000076]],[[59.20924833]]
[[59.00999832]],[[58.95977915]]
[[58.79999924]],[[59.0203391]]
[[59.02999878]],[[58.81035753]]
[[58.77999878]],[[59.04021595]]
[[58.66999817]],[[58.7900067]]
[[58.88000107]],[[58.6800726]]
[[59.08000183]],[[58.8902537]]
[[60.5]],[[59.08931253]]
[[60.06999969]],[[60.50856895]]
[[60.02000046]],[[60.0783238]]
[[60.22000122]],[[60.02875475]]
[[60.00999832]],[[60.22974507]]
[[60.34500122]],[[60.02070592]]
[[60.63999939]],[[60.35651314]]
[[61.25]],[[60.65124432]]
[[61.22499847]],[[61.26096718]]
[[61.20000076]],[[61.23576389]]
[[61.09500122]],[[61.21090359]]
[[61.24499893]],[[61.10639539]]
[[61.40999985]],[[61.25660976]]
[[61.43000031]],[[61.42167032]]
[[62.74000168]],[[61.44164758]]
[[63.02999878]],[[62.75132985]]
[[63.05009842]],[[63.04109473]]
[[62.58000183]],[[63.06104288]]
[[62.63999939]],[[62.59105376]]
[[63.18999863]],[[62.65107802]]
[[63.15999985]],[[63.20097538]]
[[62.75999832]],[[63.17167679]]
[[62.20000076]],[[62.77265972]]
[[62.36999893]],[[62.21287729]]
[[62.04999924]],[[62.38288347]]
[[62.13499832]],[[62.06244458]]
[[62.52000046]],[[62.14704592]]
[[62.375]],[[62.5317249]]
[[62.02999878]],[[62.38685991]]
[[61.75999832]],[[62.04160869]]
[[61.56999969]],[[61.77110767]]
[[61.68999863]],[[61.58033585]]
[[61.59500122]],[[61.69973627]]
[[61.79000092]],[[61.60454581]]
[[62.13999939]],[[61.79960518]]
[[60.81000137]],[[62.15027035]]
[[60.15999985]],[[60.82066618]]
[[60.27819824]],[[60.17099216]]
[[60.75]],[[60.28963566]]
[[61.08000183]],[[60.76180621]]
[[61.02500153]],[[61.09174293]]
[[61.40000153]],[[61.03610234]]
[[61.13000107]],[[61.4106591]]
[[61.18000031]],[[61.14019458]]
[[61.40999985]],[[61.19009869]]
[[61.40000153]],[[61.42010279]]
[[61.08499908]],[[61.40970437]]
[[60.81000137]],[[61.09443734]]
[[60.83000183]],[[60.81957021]]
[[60.97000122]],[[60.8399033]]
[[61.13999939]],[[60.98048104]]
[[61.11999893]],[[61.15116075]]
[[61.61000061]],[[61.13167258]]
[[61.54999924]],[[61.62183051]]
[[61.72999954]],[[61.56143928]]
[[61.84000015]],[[61.74069301]]
[[62.54999924]],[[61.85057469]]
[[62.93000031]],[[62.56029113]]
[[63.06999969]],[[62.9400938]]
[[63.13999939]],[[63.08012387]]
[[63.31999969]],[[63.15080116]]
[[63.52000046]],[[63.33206004]]
[[63.09999847]],[[63.53344343]]
[[63.09999847]],[[63.11248235]]
[[62.72000122]],[[63.1104039]]
[[63.08000183]],[[62.72854417]]
[[63.13999939]],[[63.08810621]]
[[63.09000015]],[[63.14868728]]
[[62.61000061]],[[63.09963632]]
[[62.54999924]],[[62.62044092]]
[[63.63999939]],[[62.56046123]]
[[63.54299927]],[[63.65044123]]
[[63.95000076]],[[63.55357243]]
[[64.05000305]],[[63.96076648]]
[[64.41999817]],[[64.06085241]]
[[64.66999817]],[[64.43125674]]
[[64.79000092]],[[64.68209497]]
[[64.91000366]],[[64.80267578]]
[[64.68499756]],[[64.92214294]]
[[64.36499786]],[[64.69646968]]
[[64.20999908]],[[64.37644872]]
[[64.79000092]],[[64.22223038]]
[[65.00499725]],[[64.80307788]]
[[64.98999786]],[[65.01823821]]
[[64.76000214]],[[65.0035936]]
[[64.80000305]],[[64.77225811]]
[[64.91999817]],[[64.81019998]]
[[64.94000244]],[[64.92955205]]
[[64.94999695]],[[64.94992166]]
[[65.11000061]],[[64.96092617]]
[[65.24500275]],[[65.1219619]]
[[65.19999695]],[[65.25796447]]
[[65.125]],[[65.21310178]]
[[65.41999817]],[[65.13796093]]
[[65.34999847]],[[65.43276947]]
[[65.75]],[[65.36169029]]
[[65.48500061]],[[65.76101534]]
[[65.31999969]],[[65.49561246]]
[[65.45999908]],[[65.32951535]]
[[65.61000061]],[[65.46898572]]
[[65.47000122]],[[65.61816216]]
[[65.91999817]],[[65.47811609]]
[[65.91999817]],[[65.93037502]]
[[65.82499695]],[[65.93341102]]
[[65.79000092]],[[65.84014034]]
[[64.72000122]],[[65.80423654]]
[[64.43260193]],[[64.73243141]]
[[64.41500092]],[[64.44464016]]
[[64.5]],[[64.42793069]]
[[64.37000275]],[[64.51422273]]
[[64.12000275]],[[64.38486392]]
[[64.29000092]],[[64.13448087]]
[[63.95000076]],[[64.30443432]]
[[63.65000153]],[[63.96460607]]
[[63.92499924]],[[63.66398869]]
[[63.6955986]],[[63.93795734]]
[[63.66999817]],[[63.70712779]]
[[63.47000122]],[[63.68030594]]
[[63.56000137]],[[63.47984014]]
[[63.53419876]],[[63.57089275]]
[[62.84999847]],[[63.54640973]]
[[62.99000168]],[[62.86210182]]
[[63.11999893]],[[63.00168497]]
[[63.25999832]],[[63.13095224]]
[[63.27000046]],[[63.26971089]]
[[63.33000183]],[[63.27876399]]
[[62.25999832]],[[63.33896312]]
[[62.25]],[[62.26947386]]
[[62.02999878]],[[62.26054307]]
[[61.84999847]],[[62.04110909]]
[[61.74000168]],[[61.86123876]]
[[61.68500137]],[[61.75128683]]
[[61.61999893]],[[61.69619053]]
[[61.22000122]],[[61.63113406]]
[[61.52999878]],[[61.2312342]]
[[61.65999985]],[[61.54125632]]
[[61.84999847]],[[61.67074528]]
[[61.56000137]],[[61.8600639]]
[[61.22000122]],[[61.56960016]]
[[61.38000107]],[[61.22947903]]
[[61.88999939]],[[61.38981188]]
[[61.75999832]],[[61.90037774]]
[[62.25]],[[61.77060151]]
[[62.18000031]],[[62.26076384]]
[[62.61000061]],[[62.19091048]]
[[62.66999817]],[[62.62112198]]
[[62.66999817]],[[62.68067634]]
[[63.20500183]],[[62.68219152]]
[[63.]],[[63.21923003]]
[[62.93000031]],[[63.01461951]]
[[63.15999985]],[[62.94352659]]
[[63.29999924]],[[63.17205113]]
[[63.52000046]],[[63.31064185]]
[[63.38999939]],[[63.52986416]]
[[64.]],[[63.39962211]]
[[63.63999939]],[[64.01018834]]
[[64.15000153]],[[63.65093767]]
[[63.59000015]],[[64.16163686]]
[[63.54499817]],[[63.6017483]]
[[63.43000031]],[[63.55736508]]
[[63.72000122]],[[63.44236516]]
[[61.09999847]],[[63.73277606]]
[[60.49000168]],[[61.11166831]]
[[60.56999969]],[[60.49990504]]
[[60.49000168]],[[60.57850884]]
[[60.79999924]],[[60.49802433]]
[[60.97999954]],[[60.80820751]]
[[61.25999832]],[[60.98880663]]
[[61.52999878]],[[61.26949077]]
[[61.27000046]],[[61.54017258]]
[[61.18460083]],[[61.28049396]]
[[62.04000092]],[[61.19527253]]
[[62.04999924]],[[62.05099608]]
[[61.40000153]],[[62.06114041]]
[[60.93000031]],[[61.41109507]]
[[58.25999832]],[[60.94090543]]
[[58.15999985]],[[58.27007093]]
[[58.09999847]],[[58.16993774]]
[[57.77999878]],[[58.11002221]]
[[57.70500183]],[[57.79013154]]
[[57.90000153]],[[57.71520958]]
[[58.04000092]],[[57.91034493]]
[[60.40999985]],[[58.05065668]]
[[60.11999893]],[[60.42137474]]
[[60.34000015]],[[60.13127218]]
[[60.06999969]],[[60.35123261]]
[[60.20000076]],[[60.08124455]]
[[60.34500122]],[[60.21119662]]
[[60.54000092]],[[60.35604488]]
[[61.22999954]],[[60.55110281]]
[[61.54000092]],[[61.24124257]]
[[61.59000015]],[[61.55123713]]
[[61.38000107]],[[61.60096558]]
[[61.47000122]],[[61.39057103]]
[[61.47240067]],[[61.48045753]]
[[61.83000183]],[[61.48274379]]
[[62.31999969]],[[61.83927303]]
[[62.51499939]],[[62.32911384]]
[[62.84000015]],[[62.52472287]]
[[62.59000015]],[[62.85042169]]
[[63.29999924]],[[62.6004194]]
[[62.97999954]],[[63.31072344]]
[[62.29999924]],[[62.99136401]]
[[64.12000275]],[[62.31359017]]
[[63.99000168]],[[64.13659794]]
[[64.16999817]],[[64.00855228]]
[[63.51589966]],[[64.18787781]]
[[63.77999878]],[[63.53181203]]
[[63.95999908]],[[63.79361558]]
[[63.61000061]],[[63.97118155]]
[[63.90999985]],[[63.62025696]]
[[63.75500107]],[[63.92027052]]
[[63.49000168]],[[63.76507274]]
[[63.45000076]],[[63.49988343]]
[[63.49000168]],[[63.45948061]]
[[63.74499893]],[[63.49868854]]
[[63.68000031]],[[63.75279028]]
[[63.34999847]],[[63.68712232]]
[[63.43500137]],[[63.35656911]]
[[62.95999908]],[[63.44239421]]
[[62.72999954]],[[62.96842227]]
[[62.31999969]],[[62.73974174]]
[[62.28499985]],[[62.33070924]]
[[62.50500107]],[[62.29650527]]
[[62.79999924]],[[62.51857246]]
[[63.27999878]],[[62.81507556]]
[[62.93999863]],[[63.29504065]]
[[63.50999832]],[[62.95418733]]
[[63.45999908]],[[63.52347562]]
[[63.38000107]],[[63.47275655]]
[[63.20999908]],[[63.39174087]]
[[62.54499817]],[[63.22042453]]
[[62.83499908]],[[62.55460469]]
[[62.50999832]],[[62.84435123]]
[[62.34000015]],[[62.51917937]]
[[62.22999954]],[[62.34915159]]
[[62.34999847]],[[62.23932771]]
[[62.02999878]],[[62.35972857]]
[[63.00999832]],[[62.04073428]]
[[63.56999969]],[[63.02187663]]
[[63.66999817]],[[63.5826296]]
[[63.88000107]],[[63.68264842]]
[[63.79999924]],[[63.89215332]]
[[63.63999939]],[[63.81146366]]
[[63.43999863]],[[63.65114345]]
[[63.58000183]],[[63.45071157]]
[[63.70000076]],[[63.59045491]]
[[63.29499817]],[[63.71088623]]
[[63.29999924]],[[63.30660858]]
[[63.50999832]],[[63.31193646]]
[[63.68500137]],[[63.52199265]]
[[63.70999908]],[[63.6972157]]
[[63.63999939]],[[63.72271377]]
[[63.22000122]],[[63.65295899]]
